"Year","Habitat","FwSal","Site","Station","Latitude","Longitude","WaterColumnPosition","JulianDay","WOY","DOC_ppm","WaterTemp_C","pCO2_uatm","Wind_m_s","AirTemp_C","k_cm_h","Fmmol_mmol_m2_day","Fgrams_g_m2_day","LocationNotes"
2017,"POND","FW","Bear","Bear",71.276869,-156.639452,"mid-column",213,31,22.63,11.63,850.61,10.58,9.03,22.45,530.02,23.32,"-9999.00"
2017,"POND","FW","Bear","Bear",71.276869,-156.639452,"mid-column",218,32,23.89,9.31,2234.22,1.86,6.22,0.65,66.12,2.91,"-9999.00"
2017,"POND","FW","Bear","Bear",71.276869,-156.639452,"mid-column",220,32,21.4,7.39,2835.24,3.15,9.42,1.76,253.88,11.17,"-9999.00"
2017,"POND","FW","Cat","Cat",71.277241,-156.641515,"mid-column",213,31,14.46,11.04,1154.5,9.28,9.42,16.99,677.56,29.81,"-9999.00"
2015,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",217,31,8.18,8.69,318,1.75,3.52,0.56,-2.22,-0.1,"-9999.00"
2015,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",218,32,-9999,8.69,304.18,3.8,2.3,2.65,-12.54,-0.55,"-9999.00"
2017,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",213,31,6.43,12.29,398.56,10.95,9.03,24.51,12.92,0.57,"-9999.00"
2017,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",216,31,6.86,9.7,493.58,5.01,7.83,4.76,27.38,1.2,"-9999.00"
2017,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",218,32,6.88,11.18,617.09,1.86,6.62,0.69,8.13,0.36,"-9999.00"
2017,"LAKE","FW","CEL","CEL",71.277701,-156.638548,"surface",220,32,6.72,12.22,243.1,3.9,9.03,3.1,-22.49,-0.99,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-209",71.278856,-156.83152,"surface",218,32,2,6.52,161.68,3.81,3.89,2.39,-32.9,-1.45,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-219",71.199872,-156.995279,"surface",218,32,2,8.24,247.28,3.81,3.89,2.51,-20.26,-0.89,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-220",71.181507,-157.02712,"surface",218,32,1.1,7.58,201.45,3.81,3.89,2.46,-26.96,-1.19,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-250",71.150107,-157.083965,"surface",218,32,1.2,7.46,161.82,3.81,3.89,2.46,-32.71,-1.44,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-251",71.0558,-157.247059,"surface",218,32,1.2,6.94,178.95,3.81,3.89,2.42,-30.32,-1.33,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-252",71.133235,-157.115646,"surface",218,32,1.4,7.68,209.96,3.81,3.89,2.47,-25.72,-1.13,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-253",71.115715,-157.143061,"surface",218,32,1,7.8,194.67,3.81,3.89,2.48,-27.91,-1.23,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-254",71.025906,-157.305762,"surface",218,32,1.3,6.74,167.06,3.81,3.89,2.4,-32.08,-1.41,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-255",71.097753,-157.173073,"surface",218,32,1,7.34,182.26,3.81,3.89,2.45,-29.78,-1.31,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-256",71.108117,-157.158261,"surface",218,32,1,9.24,210.3,3.81,3.89,2.59,-25.45,-1.12,"-9999.00"
2015,"Ocean","Saline","Chukchi","Chukchi-257",71.081805,-157.201462,"surface",218,32,1.2,6.86,160.42,3.81,3.89,2.41,-33.02,-1.45,"-9999.00"
